name	type
A2M	protein
ACTA2	protein
ACTB	protein
ACTG1	protein
AGRN	protein
ALB	protein
APCS	protein
APOA1	protein
APOA2	protein
APOA4	protein
APOC2	protein
APOC3	protein
APOE	protein
APP	protein
AZGP1	protein
B2M	protein
C3	protein
C9	protein
CLU	protein
CST3	protein
DCD	protein
EEF1A1	protein
FGA	protein
FN1	protein
GIG25	protein
GPC1	protein
GSN	protein
HBA1	protein
HBB	protein
HSPG2	protein
INS	protein
ITM2B	protein
KRT1	protein
KRT5	protein
KRT14	protein
LACRT	protein
LAMA1	protein
LECT2	protein
LGALS7	protein
LYZ	protein
MFGE8	protein
NPPA	protein
ODAM	protein
PRNP	protein
SAA1	protein
SAA2	protein
SDC1	protein
SDC2	protein
SDC3	protein
SEMG1	protein
SERPINA1	protein
TTR	protein
AmyCo:16	disease
AmyCo:17	disease
AmyCo:19	disease
AmyCo:20	disease
AmyCo:22	disease
AmyCo:23	disease
AmyCo:24	disease
AmyCo:25	disease
AmyCo:26	disease
AmyCo:27	disease
AmyCo:28	disease
AmyCo:29	disease
AmyCo:30	disease
AmyCo:33	disease
AmyCo:35	disease
AmyCo:36	disease
AmyCo:37	disease
AmyCo:40	disease
AmyCo:63	disease
AmyCo:67	disease
AmyCo:73	disease
AmyCo:75	disease
AmyCo:8	disease
DOID:0050637	disease
DOID:0050638	disease
DOID:0050639	disease
DOID:0070027	disease
DOID:0070028	disease
DOID:0070029	disease
DOID:0070030	disease
