Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA8	1146.17792726769	1.26100625811181	0.3342763554308	3.77234655585102	0.000161719422133577	0.000925661356470591
ABTB2	479.121974463639	1.06767815771068	0.22889893771334	4.66440853057945	3.09505962542144e-06	3.27855351252433e-05
ADAMTS14	186.920898744126	1.27850124368623	0.375551329399852	3.40433156162523	0.00066326191940334	0.00303998507371696
ADAMTS18	351.456268486243	1.29934937871175	0.345324577113646	3.76269013220026	0.000168095424479983	0.00095478722870045
ADAMTS3	210.829290013433	-1.94198506953444	0.155120319348798	-12.5192178412666	5.86098551945021e-36	6.43506905108035e-32
ADAMTS4	975.482312552291	1.62399781027348	0.331726555889264	4.89559181030895	9.8010319844934e-07	1.22354099685896e-05
ADAMTS9	268.796874429518	1.30471881899219	0.197687228306772	6.59991457297142	4.1139476858505e-11	1.86264282955858e-09
ADCYAP1	116.192184401417	-1.69291022911412	0.360340020286287	-4.69809106346033	2.62604349991877e-06	2.84485886604422e-05
ADGRE5	109.117523720727	1.03432204564015	0.201654772613342	5.1291721601025	2.910191073133e-07	4.3591327268027e-06
ADGRL2	2111.82923453577	-1.41874138428202	0.196714495956861	-7.21218524024353	5.50609990129716e-13	3.88773143834676e-11
ADIPOR2	2469.20468248844	1.02616277050813	0.223058595015403	4.60041797733583	4.21644025700012e-06	4.31046608954682e-05
ADRA1B	254.64966858823	-1.47636402745555	0.327886943211951	-4.50266184128352	6.71076158673252e-06	6.44344616016875e-05
AGBL1	351.533610975532	-1.20156841115129	0.163277402247319	-7.35906129454004	1.85207979476545e-13	1.42202168577813e-11
AGMO	187.328430666919	1.09983492085264	0.289545284215892	3.79849018722949	0.000145580191662774	0.000846895000275456
ALDH1A3	89.5963453612836	-1.66845616554898	0.268876582445722	-6.20528627064719	5.45974256869379e-10	1.8028644671571e-08
AMER3	397.935151884167	-1.15180988166248	0.253764710853356	-4.53888910632687	5.6551364750533e-06	5.56117966214489e-05
ANGPT1	372.033428547192	1.3424060277745	0.169516260450619	7.9190398856489	2.39351566873658e-15	2.87208800927795e-13
ANGPTL4	202.530192220967	1.1415379996583	0.181124775420637	6.30249504523738	2.92891906553807e-10	1.03236169759471e-08
ANKRD18B	82.58396764315	-1.67444191121049	0.251854133422914	-6.64845912375307	2.96177206933731e-11	1.38672820619569e-09
ANKRD20A5P	99.102711758339	-1.02778201601727	0.183282362882596	-5.60764276416291	2.05100815005305e-08	4.32642535706195e-07
ANKRD30B	131.701840691906	-1.67216308480739	0.276613053148494	-6.04513440625566	1.4928549808971e-09	4.34193410934031e-08
ANLN	2457.49974779708	1.61449251890013	0.337499844155121	4.78368374640813	1.72111409060662e-06	1.99545640526034e-05
ANO3	901.943021631095	-1.23492208834823	0.191321492154577	-6.45469609525353	1.08436285006956e-10	4.35311221657723e-09
APLN	549.009461940992	1.01628967311822	0.181283466894213	5.60608030356829	2.0695996826481e-08	4.36145292046733e-07
APLNR	2395.85806526662	1.27775793885764	0.272051455271533	4.6967509788996	2.64332387334528e-06	2.86216710723811e-05
AQP1	2641.10106441373	3.24199780138365	0.4501146666335	7.20260422889843	5.9073253293865e-13	4.15765887525635e-11
