GeneSymbol	Geneid	Hippo_reads	Cortex_reads	Control_reads	l2FC	padj
ASB2	ENSG00000100628	169	750	367	-2.57	0
ATRNL1	ENSG00000107518	120561	224385	59345	-1.43	0
C1QB	ENSG00000173369	19260	8123	1625	0.83	1.06339E-06
C3	ENSG00000125730	154484	61414	12083	0.88	9.42429E-06
C3AR1	ENSG00000171860	5836	1897	578	1.15	6.45389E-07
C4B	ENSG00000224389	7847	1659	409	1.48	2.38794E-05
CABP1	ENSG00000157782	9832	17133	6124	-1.43	1.30008E-06
CACNA1G	ENSG00000006283	3743	7598	1628	-1.59	6.71128E-09
CACNB3	ENSG00000167535	9177	14963	2797	-1.39	3.53265E-06
CAMKK2	ENSG00000110931	20826	47904	11558	-1.75	0
CBLN2	ENSG00000141668	2799	6833	2851	-1.83	0
CD38	ENSG00000004468	12373	2553	501	1.75	0
CD44	ENSG00000026508	39348	5567	1167	2.15	0
CD74	ENSG00000019582	109807	38758	9681	1.06	1.17265E-06
CD86	ENSG00000114013	3449	1341	358	0.96	2.00218E-06
CDH7	ENSG00000081138	960	2426	587	-1.95	0
CH25H	ENSG00000138135	8417	1222	71	2.36	0
CHML	ENSG00000203668	6377	9560	2303	-1.05	1.55765E-09
CMTM3	ENSG00000140931	3117	1088	275	0.97	1.86863E-06
CPNE9	ENSG00000144550	916	2577	477	-2.31	0
CRABP1	ENSG00000166426	451	1333	256	-2.69	3.86717E-08
CXCR4	ENSG00000121966	4169	1354	256	1.22	6.73034E-09
CYP4F3	ENSG00000186529	2415	426	72	1.72	1.63223E-06
DDR1	ENSG00000204580	117246	41527	10119	1.06	1.12558E-06
EGR2	ENSG00000122877	6281	1447	141	1.76	3.95576E-05
EPHB6	ENSG00000106123	16479	28967	8853	-1.55	4.03348E-07
EPHX4	ENSG00000172031	1067	2277	640	-1.66	1.50543E-08
EPN3	ENSG00000049283	126	285	195	-1.69	1.69516E-08
FAM189A2	ENSG00000135063	7233	2303	567	1.09	9.17063E-07
FBLN7	ENSG00000144152	683	1344	503	-1.43	1.38752E-05
FCER1G	ENSG00000158869	2717	1070	282	0.89	3.53347E-07
FCGR2A	ENSG00000143226	4700	1807	538	0.96	5.25227E-09
FOS	ENSG00000170345	54381	11583	1576	1.91	1.25429E-06
FPR1	ENSG00000171051	3480	1202	411	1.11	4.48798E-10
GALNT15	ENSG00000131386	50652	13176	3232	1.42	1.24726E-07
GEM	ENSG00000164949	4096	1175	262	1.23	0
GLRA2	ENSG00000101958	1599	2963	395	-1.52	8.30404E-07
HECW1	ENSG00000002746	13893	24355	6838	-1.48	2.73686E-08
HLA-DOA	ENSG00000204252	4696	1421	466	1.28	4.61773E-08
HLA-DPA1	ENSG00000231389	25502	8561	2050	1.09	1.95086E-07
HTR3B	ENSG00000149305	192	950	332	-3.23	0
ID3	ENSG00000117318	10389	3190	770	1.15	2.11809E-07
IER3	ENSG00000137331	2583	723	175	1.29	9.57192E-07
IL1B	ENSG00000125538	5083	905	160	2.03	2.31378E-07
IL1RAPL2	ENSG00000189108	241	756	129	-2.31	0
IPCEF1	ENSG00000074706	13538	23644	6961	-1.3	1.4637E-10
ITGAM	ENSG00000169896	7499	3236	694	0.79	6.45389E-07
ITGB4	ENSG00000132470	36906	7722	3228	1.67	0
ITPKA	ENSG00000137825	5184	9816	2808	-1.67	5.78551E-06
ITPR1	ENSG00000150995	42435	73814	23727	-1.45	1.41288E-07
KCNH1	ENSG00000143473	10003	13593	3050	-1.02	6.70397E-07
KCNH5	ENSG00000140015	2871	5178	1153	-1.62	5.38245E-08
KCNH7	ENSG00000184611	4622	9412	1801	-1.76	5.03267E-10
KCNQ5	ENSG00000185760	10947	20895	5448	-1.58	8.65955E-08
KCNS1	ENSG00000124134	1984	5475	3826	-2.31	1.49884E-10
KCNS2	ENSG00000156486	2904	6345	2272	-1.89	3.47491E-09
KCNV1	ENSG00000164794	8086	15354	2918	-1.73	6.50595E-06
KIF5A	ENSG00000155980	290218	381348	88896	-0.92	1.57543E-06
KRT5	ENSG00000186081	71	193	63	-2	4.2301E-05
LDB2	ENSG00000169744	9643	17674	4268	-1.47	1.3443E-10
LILRB4	ENSG00000186818	5150	1966	486	0.97	1.71333E-06
LPAR4	ENSG00000147145	1727	386	96	1.51	0
LPCAT2	ENSG00000087253	14638	5426	1309	1	6.67361E-07
MGAT5B	ENSG00000167889	8910	21413	5594	-2.16	5.92051E-10
MKX	ENSG00000150051	1116	2374	556	-1.61	0
MT1X	ENSG00000187193	2992	937	413	1.11	3.20577E-06
MTCL1	ENSG00000168502	5778	8555	2733	-1.07	1.0183E-09
NFKBIA	ENSG00000100906	22989	8102	2725	0.95	0
NGEF	ENSG00000066248	14331	27501	9608	-1.54	1.83118E-10
NRGN	ENSG00000154146	35199	58562	15336	-1.32	2.27241E-08
NUAK1	ENSG00000074590	26949	38080	9473	-0.96	0
PDGFD	ENSG00000170962	785	1500	381	-1.54	1.9242E-05
PDK4	ENSG00000004799	38345	12823	3760	1.13	8.92664E-10
PDP1	ENSG00000164951	21849	39703	10836	-1.44	1.75037E-10
PKNOX2	ENSG00000165495	4384	6431	1650	-1.09	1.89653E-06
PLCB4	ENSG00000101333	3407	4378	1060	-0.85	4.51354E-10
POU6F2	ENSG00000106536	1026	1661	368	-1.17	2.37384E-06
PRKAR2B	ENSG00000005249	13384	19078	4312	-1.02	3.76666E-07
RAED2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
RGS1	ENSG00000090104	25360	3612	186	2.46	0
RGS4	ENSG00000117152	40342	75628	16697	-1.57	1.42854E-06
RHBDF2	ENSG00000129667	6326	2352	724	0.99	1.01779E-06
RIMS2	ENSG00000176406	32730	50014	12123	-1.14	0
RIMS3	ENSG00000117016	42978	91303	25112	-1.87	1.30423E-10
